vm_id,cores,mem
vm_00784,4,32768
vm_00785,2,2048
vm_00786,2,4096
vm_00787,4,32768
vm_00788,2,4096
vm_00789,2,8192
vm_00790,4,8192
vm_00791,2,8192
vm_00792,24,65536
vm_00793,4,32768
vm_00794,4,8192
vm_00795,4,32768
vm_00796,2,2048
vm_00797,2,4096
vm_00798,2,4096
vm_00799,2,4096
vm_00800,4,32768
vm_00801,2,8192
vm_00802,4,32768
vm_00803,2,8192
vm_00804,4,32768
vm_00805,4,32768
vm_00806,4,32768
vm_00807,8,32768
vm_00808,2,8192
vm_00809,4,32768
vm_00810,2,8192
vm_00811,4,32768
vm_00812,4,32768
vm_00813,4,32768
vm_00814,2,8192
vm_00815,2,8192
vm_00816,24,65536
vm_00817,4,32768
vm_00818,2,4096
vm_00819,2,2048
vm_00820,2,2048
vm_00821,2,8192
vm_00822,2,8192
vm_00823,4,32768
vm_00824,2,4096
vm_00825,24,65536
vm_00826,2,8192
vm_00827,2,2048
vm_00828,24,65536
vm_00829,4,32768
vm_00830,2,8192
vm_00831,2,8192
vm_00832,4,32768
vm_00833,2,2048
vm_00834,2,8192
vm_00835,2,8192
vm_00836,8,32768
vm_00837,2,2048
vm_00838,2,8192
vm_00839,2,4096
vm_00840,4,32768
vm_00841,2,8192
vm_00842,4,8192
vm_00843,2,8192
vm_00844,4,32768
vm_00845,2,8192
vm_00846,4,32768
vm_00847,2,2048
vm_00848,4,32768
vm_00849,8,32768
vm_00850,4,65536
vm_00851,4,32768
vm_00852,2,4096
vm_00853,2,2048
vm_00854,2,2048
vm_00855,8,32768
vm_00856,2,8192
vm_00857,4,32768
vm_00858,4,32768
vm_00859,2,8192
vm_00860,2,8192
vm_00861,4,8192
vm_00862,2,8192
vm_00863,8,32768
vm_00864,2,2048
vm_00865,2,8192
vm_00866,2,8192
vm_00867,4,32768
vm_00868,2,8192
vm_00869,4,32768
vm_00870,2,4096
vm_00871,2,4096
vm_00872,4,65536
vm_00873,2,2048
vm_00874,2,4096
vm_00875,8,32768
vm_00876,2,4096
vm_00877,2,2048
vm_00878,2,4096
vm_00879,2,4096
vm_00880,2,4096
vm_00881,2,8192
vm_00882,8,32768
vm_00883,2,8192
vm_00884,2,2048
vm_00885,8,32768
vm_00886,2,8192
vm_00887,2,8192
vm_00888,8,32768
vm_00889,2,8192
vm_00890,4,8192
vm_00891,4,32768
vm_00892,2,8192
vm_00893,2,8192
vm_00894,4,32768
vm_00895,8,32768
vm_00896,4,32768
vm_00897,2,2048
vm_00898,8,32768
vm_00899,8,32768
vm_00900,2,2048
vm_00901,2,4096
vm_00902,2,8192
vm_00903,2,8192
vm_00904,2,8192
vm_00905,2,8192
vm_00906,2,8192
vm_00907,4,32768
vm_00908,4,8192
vm_00909,4,32768
vm_00910,2,8192
vm_00911,2,8192
vm_00912,2,4096
vm_00913,2,2048
vm_00914,2,8192
vm_00915,4,32768
vm_00916,2,8192
vm_00917,2,8192
vm_00918,4,32768
vm_00919,4,8192
vm_00920,4,32768
vm_00921,8,32768
vm_00922,8,32768
vm_00923,4,32768
vm_00924,4,32768
vm_00925,2,2048
vm_00926,8,32768
vm_00927,4,32768
vm_00928,2,8192
vm_00929,2,8192
vm_00930,2,8192
vm_00931,2,4096
vm_00932,8,32768
vm_00933,4,32768
vm_00934,2,8192
vm_00935,2,2048
vm_00936,2,8192
vm_00937,2,8192
vm_00938,4,32768
vm_00939,4,32768
vm_00940,4,32768
vm_00941,4,32768
vm_00942,2,2048
vm_00943,4,65536
vm_00944,2,8192
vm_00945,4,32768
vm_00946,2,4096
vm_00947,2,2048
vm_00948,2,8192
vm_00949,2,4096
vm_00950,2,2048
vm_00951,4,32768
vm_00952,2,8192
vm_00953,2,8192
vm_00954,4,32768
vm_00955,2,8192
vm_00956,2,4096
vm_00957,8,32768
vm_00958,8,32768
vm_00959,2,8192
vm_00960,4,65536
vm_00961,4,32768
vm_00962,4,8192
vm_00963,2,8192
vm_00964,4,32768
vm_00965,2,2048
vm_00966,2,8192
vm_00967,8,32768
vm_00968,2,4096
vm_00969,4,65536
vm_00970,4,32768
vm_00971,4,8192
vm_00972,2,8192
vm_00973,2,4096
vm_00974,2,8192
vm_00975,8,32768
vm_00976,2,8192
vm_00977,2,2048
vm_00978,2,2048
vm_00979,2,8192
vm_00980,2,8192
vm_00981,4,8192
vm_00982,2,8192
vm_00983,4,32768
vm_00984,4,32768
vm_00985,2,2048
vm_00986,4,32768
vm_00987,2,8192
vm_00988,4,32768
vm_00989,4,32768
vm_00990,4,32768
vm_00991,4,32768
vm_00992,2,4096
vm_00993,4,8192
vm_00994,4,32768
vm_00995,2,4096
vm_00996,2,4096
vm_00997,2,4096
vm_00998,4,32768
vm_00999,4,32768
vm_01000,2,4096
vm_01001,4,32768
vm_01002,2,8192
vm_01003,4,32768
vm_01004,2,8192
vm_01005,4,32768
vm_01006,8,32768
vm_01007,4,8192
vm_01008,4,32768
vm_01009,4,32768
vm_01010,4,32768
vm_01011,2,8192
vm_01012,4,32768
vm_01013,2,8192
vm_01014,2,2048
vm_01015,2,8192
vm_01016,2,8192
vm_01017,2,2048
vm_01018,2,8192
vm_01019,2,8192
vm_01020,2,8192
vm_01021,4,8192
vm_01022,4,32768
vm_01023,8,32768
vm_01024,4,32768
vm_01025,4,32768
vm_01026,2,8192
vm_01027,2,8192
vm_01028,4,65536
vm_01029,4,32768
vm_01030,4,32768
vm_01031,4,32768
vm_01032,2,8192
vm_01033,2,2048
vm_01034,4,65536
vm_01035,4,32768
vm_01036,2,8192
vm_01037,2,8192
vm_01038,2,8192
vm_01039,2,4096
vm_01040,24,65536
vm_01041,2,8192
vm_01042,2,8192
vm_01043,2,8192
vm_01044,2,8192
vm_01045,2,8192
vm_01046,2,8192
vm_01047,2,2048
vm_01048,4,32768
vm_01049,4,65536
vm_01050,2,8192
vm_01051,2,4096
vm_01052,2,8192
vm_01053,2,4096
vm_01054,2,8192
vm_01055,4,32768
vm_01056,4,8192
vm_01057,2,8192
vm_01058,2,2048
vm_01059,2,4096
vm_01060,2,2048
vm_01061,2,8192
vm_01062,8,32768
vm_01063,4,8192
vm_01064,24,65536
vm_01065,4,8192
vm_01066,2,2048
vm_01067,4,32768
vm_01068,4,8192
vm_01069,4,32768
vm_01070,4,32768
vm_01071,2,2048
vm_01072,2,2048
vm_01073,4,32768
vm_01074,4,8192
vm_01075,4,32768
vm_01076,2,8192
vm_01077,24,65536
vm_01078,2,4096
vm_01079,2,8192
vm_01080,2,4096
vm_01081,4,32768
vm_01082,8,65536
vm_01083,2,2048
vm_01084,2,4096
vm_01085,4,32768
vm_01086,2,8192
vm_01087,2,8192
vm_01088,4,32768
vm_01089,2,4096
vm_01090,4,8192
vm_01091,4,32768
vm_01092,2,4096
vm_01093,2,8192
vm_01094,4,8192
vm_01095,4,65536
vm_01096,2,8192
vm_01097,2,8192
vm_01098,2,4096
vm_01099,4,32768
vm_01100,2,4096
vm_01101,2,8192
vm_01102,2,8192
vm_01103,4,32768
vm_01104,4,32768
vm_01105,2,2048
vm_01106,2,8192
vm_01107,2,8192
vm_01108,4,8192
vm_01109,4,32768
vm_01110,4,32768
vm_01111,8,32768
vm_01112,2,4096
vm_01113,2,2048
vm_01114,2,2048
vm_01115,4,65536
vm_01116,2,8192
vm_01117,4,32768
vm_01118,2,8192
vm_01119,2,4096
vm_01120,4,32768
vm_01121,2,8192
vm_01122,4,32768
vm_01123,4,8192
vm_01124,2,8192
vm_01125,8,32768
vm_01126,4,65536
vm_01127,8,32768
vm_01128,2,4096
vm_01129,8,32768
vm_01130,2,2048
vm_01131,4,32768
vm_01132,2,2048
vm_01133,8,32768
vm_01134,4,8192
vm_01135,4,32768
vm_01136,2,8192
vm_01137,8,32768
vm_01138,2,8192
vm_01139,4,32768
vm_01140,2,4096
vm_01141,2,8192
vm_01142,2,8192
